1,4,3
1,135,1
1,142,3
1,212,1
1,259,2
1,261,4
1,265,2
1,293,5
1,321,2
1,323,2
1,358,2
1,416,4
1,429,2
1,436,5
2,5,1
2,13,2
2,274,4
2,282,3
2,294,4
2,311,1
2,337,1
2,341,1
2,346,5
2,359,1
2,387,5
2,409,3
2,425,5
2,428,5
3,20,5
3,152,1
3,156,3
3,233,1
3,286,4
3,324,1
3,371,1
3,432,5
3,438,4
3,484,2
3,488,3
3,490,5
3,491,4
3,497,1
4,74,1
4,131,5
4,147,5
4,182,3
4,249,2
4,275,3
4,278,3
4,292,1
4,300,1
4,310,1
4,314,2
4,382,1
4,391,1
5,60,4
5,117,1
5,251,5
5,253,3
5,258,1
5,259,4
5,294,1
5,337,4
5,341,1
5,358,2
5,387,4
5,425,1
5,428,3
6,49,3
6,67,1
6,70,3
6,92,5
6,104,4
6,156,5
6,158,3
6,167,2
6,180,4
6,184,3
6,224,4
6,253,2
6,304,1
6,465,2
7,187,3
7,232,2
7,263,4
7,279,3
7,306,1
7,336,1
7,348,5
7,364,2
7,376,4
7,400,5
7,402,2
7,405,5
7,406,5
7,419,3
8,138,1
8,183,4
8,189,3
8,217,2
8,221,5
8,254,5
8,317,3
8,338,5
8,351,1
8,383,2
8,392,5
8,395,3
8,411,4
8,486,1
9,45,5
9,80,4
9,122,4
9,146,5
9,151,4
9,185,2
9,211,2
9,215,3
9,235,5
9,247,4
9,255,3
9,266,1
9,326,1
9,388,1
10,36,2
10,95,5
10,100,2
10,107,4
10,192,5
10,226,2
10,243,2
10,244,3
10,256,1
10,263,1
10,280,3
10,318,1
10,332,4
10,366,3
11,27,5
11,36,4
11,53,1
11,88,3
11,192,5
11,226,2
11,244,3
11,280,2
11,318,3
11,327,2
11,332,1
11,366,2
11,420,3
11,481,5
12,16,1
12,73,4
12,98,3
12,172,1
12,178,1
12,188,3
12,259,1
12,298,3
12,436,3
12,455,1
12,471,2
12,480,2
12,485,2
12,499,5
13,165,2
13,253,1
13,274,4
13,294,5
13,311,2
13,331,3
13,336,5
13,337,1
13,354,5
13,387,2
13,425,4
13,428,2
13,455,4
14,26,4
14,71,4
14,102,5
14,118,2
14,128,4
14,136,5
14,137,2
14,144,1
14,161,2
14,220,1
14,239,5
14,285,3
14,395,1
14,406,1
15,25,3
15,84,5
15,116,1
15,162,5
15,183,5
15,191,1
15,196,5
15,201,5
15,208,4
15,277,4
15,304,2
15,309,5
15,335,2
15,367,3
16,86,3
16,90,5
16,98,1
16,159,4
16,188,3
16,322,3
16,329,2
16,390,1
16,449,4
16,462,2
16,471,4
16,480,5
16,499,4
17,72,3
17,171,4
17,219,4
17,242,2
17,247,2
17,261,1
17,304,1
17,350,3
17,370,5
17,427,2
